text_clean,sentiments,scores,features
konsultasi klaim diskon https bit ly klaimdiskoncoc,neutral,0.996866762638092,[-1.7211037  4.2919436 -2.9776857]
surrender,positive,0.4369581937789917,[ 0.2969656   0.22259186 -0.7240643 ]
org pinter suka banget nonton org pinter cepat,positive,0.996174454689026,[ 4.3027534 -1.7242615 -2.2490242]
makan,positive,0.6561317443847656,[ 0.97901756  0.07073309 -1.1340318 ]
hr recruiter pantau,neutral,0.9974178075790404,[-2.2028315  4.3006535 -2.5203562]
rada sedih lihat anak indonesia pinter2 org perintah laen,negative,0.990098774433136,[-1.1256363 -2.5667129  3.691941 ]
show tonton faedah asah ilmu tahu terap trus acara kaya gin motivasi anak anak indonesia giat ajar,positive,0.936828315258026,[ 2.51348   -0.4170239 -1.7508452]
show tonton faedah asah ilmu tahu terap trus acara kaya gin motivasi anak anak indonesia giat ajar,positive,0.936828315258026,[ 2.51348   -0.4170239 -1.7508452]
w rumah merinding langsung sana,negative,0.9858200550079346,[-2.2965477 -1.412969   3.1746066]
gagal hebat,negative,0.9978255033493042,[-2.1475203 -2.3444211  4.580804 ]
seruuuuu,positive,0.996432900428772,[ 4.372847  -1.5961328 -2.512129 ]
acara positif tengah serbu acara hura2 mutu moga program2 sasar intelegencia eq lomba cerdas cermat kelopencapir generasi 90n,negative,0.727450966835022,[-0.7368719  -0.49708828  1.0650649 ]
nan,positive,0.5520077347755432,[ 0.5400192  -0.94198436  0.00282718]
langgan remedial suka banget nontonin giat orang pinter,positive,0.980682134628296,[ 3.165948  -1.6699395 -1.2772131]
syng banget rea nana ngundurin,positive,0.7123910188674927,[ 1.1828954 -1.716178   0.1292064]
anak pinter pinter,positive,0.9954524636268616,[ 4.093375  -2.003363  -1.9736061]
kayak variety show university war korsel beda korsel univ kelompok g individu,neutral,0.8499606847763062,[-2.024289    1.7365689  -0.13904314]
kayak gin viral keren banget masyaallah anak selanjutnyaaaa,positive,0.9957361221313475,[ 4.2071667 -1.749236  -2.1741633]
dsni pinter smua cuux g bodoh cm karma pakai segi otak anak anak,negative,0.8656708002090454,[ 0.05797746 -1.9929805   2.042177  ]
astaga ngelihat semangat hitung hebat banget langsung pingsan pulang banggan,negative,0.9843495488166808,[-0.81080407 -2.6913247   3.47262   ]
15 16 22 23 27 06 34 08 37 48,neutral,0.9882728457450868,[-2.1122887  3.3380947 -1.5452437]
moga anak anak kelak pintar anak anak amiin allh,positive,0.9887400269508362,[ 3.5398037 -1.2138011 -2.3499696]
1 keren,positive,0.9963441491127014,[ 4.23024   -1.8675213 -2.3259137]
maty anxietyku ronta,negative,0.7979331612586975,[-3.3545856  0.6921404  2.082895 ]
ngerjain kepala pusing lihat,negative,0.9979664087295532,[-2.567268  -2.0105329  4.6384063]
moga orang cerdas nantix kerja layak,positive,0.9797292947769164,[ 3.0524433 -1.4066832 -1.6451038]
indonesia butuh banget acara ginii,positive,0.4579775035381317,[ 0.21453576  0.17892727 -1.3064545 ]
moga 3 anak2 pintar kk2 utama didik,positive,0.9763794541358948,[ 2.9217901 -1.0669222 -2.2510486]
keren keren banget,positive,0.9968572854995728,[ 4.36763   -1.8249679 -2.4375527]
kagum orang pintar,positive,0.9945082068443298,[ 3.977485  -2.053006  -1.7931478]
nontonnya sholawatin,positive,0.964796781539917,[ 2.5020297 -1.1990976 -1.9382977]
jarang indonesia acara gin teruskann mantap,positive,0.9951220154762268,[ 4.155964  -1.3903472 -2.7517197]
kayak gin wajib viral asli keren bngt,positive,0.995491087436676,[ 4.1323605 -1.7876832 -2.163327 ]
merinding moga anak cucu salah amin,negative,0.968805730342865,[-0.9712997 -1.9197807  2.7919106]
nonton coc lihat xaviera sandy,neutral,0.9974729418754578,[-1.9894367  4.355188  -2.8046234]
asli acara terkren ruangguru best emang,positive,0.9954604506492616,[ 4.171234  -1.5662785 -2.4457552]
100 indonesia kurang orang pintar kurang orang jujur,negative,0.9947634935379028,[-2.7823017 -1.3827164  4.0846386]
takut lycaa hujat bodoh,negative,0.9971107244491576,[-2.3572056 -1.8918065  4.4393272]
jerome tiap muka hhh,negative,0.9825797080993652,[-1.4919754 -1.6033353  3.1795843]
otak standar suka banget orang jenius,positive,0.9744611382484436,[ 3.1924548 -2.3458827 -0.6118328]
lihat program nang merinding,negative,0.99143785238266,[-2.1056123 -1.9039099  3.4452655]
mudah2an acaraanya kayak master chef indonesiaaaa yahhhh,positive,0.9925239682197572,[ 3.878005  -1.1934676 -2.7992837]
padjadjaran kenalin,neutral,0.9514743685722352,[-2.5915225   2.6278367  -0.46023744]
padjadjaran kenalin,neutral,0.9514743685722352,[-2.5915225   2.6278367  -0.46023744]
kecewa lolos percaya pintar mageran cma lihat hitung,negative,0.9980509281158448,[-2.5988643 -2.0564325  4.640271 ]
makan,positive,0.6561317443847656,[ 0.97901756  0.07073309 -1.1340318 ]
gpa kui lhoo,negative,0.6156994104385376,[-0.93130606 -0.4691555   0.4907138 ]
ipk 2 indonesia mah ipk 2 3 wapres,neutral,0.5622720718383789,[-1.5678028   0.6728006   0.27545848]
sih pintar pintar smua,negative,0.4962147176265716,[ 1.0720596 -2.4311752  1.086574 ]
lihat gin motivasi malas2 ajar tdur kelas maybe orang tua nuntut w naruh harap w,negative,0.9973119497299194,[-2.776233  -1.71619    4.4974947]
calon indonesia maju,positive,0.9577823281288148,[ 2.625529  -0.6334028 -2.5507078]
agas sok pinter anjing,negative,0.998239278793335,[-2.2805874 -2.451275   4.6711335]
sebenernya challenge butuh tenang fokus teliti lumayan lomba menang tenang teliti sedih sih nyesel nyalahin huhuu,negative,0.729867696762085,[ 0.23578389 -1.6194248   1.3750646 ]
amazing real acara keren best banget moga acara unggah anak anak bangsa pintar cerdas akhlak,positive,0.9963529109954834,[ 4.239727  -1.8525165 -2.3314884]
orang pintar harga,positive,0.9372758865356444,[ 2.5726051  -2.396687   -0.24124561]
calon2 wakil walikota,neutral,0.9927599430084229,[-1.9928513  3.5120091 -2.2245421]
asa nonton squid game,neutral,0.7535277605056763,[-3.081867   2.0590782  0.9235083]
terimakasih ruang guru nyediain tonton keren,positive,0.9732704162597656,[ 3.0259647  -0.69151014 -2.7285578 ]
ibu2 trmotivasi ajar lbh giat ajar anak2ku moga anak2ku cerdas hasil mrka aamiin,positive,0.9666160345077516,[ 2.9259982  -0.62238604 -2.2297966 ]
acara tahun sih sumpah seru nontonin nyaa,positive,0.995788276195526,[ 4.0875444 -1.9726388 -2.1806808]
kesan nonton video bangga banget sm adek adek pinter pinter bakat patut apresiasi moga acara lanjut motivasi pelajar2 indonesia prestasi rajin ajar keren ruang guru,positive,0.9907930493354796,[ 3.5690591 -1.8017457 -1.8035123]
dannn akhirnyaaaa indonesia acara ngikutin korea mikir indonesia acara gin daannnn ruang guruuuu bikin acara gila sukses ruang guru,positive,0.9589500427246094,[ 2.7095296  -2.029224   -0.67017025]
kasi emilda,neutral,0.8033080101013184,[-0.63557774  1.1736509  -1.3387651 ]
merinding hebat,positive,0.759044885635376,[ 1.6402271 -2.1191554  0.4165515]
bts kompetisi,neutral,0.6342674493789673,[-0.23382513  0.7191672  -0.93612355]
bissmillah sekolah lagi pinter,positive,0.9848636984825134,[ 3.2829034 -1.8608655 -1.3700657]
piala ucl,neutral,0.7094619870185852,[ 0.5015045  1.4399861 -2.5610068]
nan,positive,0.5520077347755432,[ 0.5400192  -0.94198436  0.00282718]
bismillah moga anak besok,positive,0.5586786866188049,[ 1.0874076  0.8232455 -2.725283 ]
lolos babak 1 best deh generasi muda hebat,positive,0.996289610862732,[ 4.2682037 -1.8582363 -2.2078466]
gilir joget gk cepat viral lanjut mncanegara,negative,0.9793267250061036,[-2.6454234 -1.042431   2.9989908]
ny tampilin donk konten video biar nonton rumah ikutannnn,neutral,0.7484930753707886,[-1.9582701   1.0497081  -0.19986762]
moga anak nnti pinter kayak gin calon suami salah orang pinter prestasi,positive,0.9644771218299866,[ 2.8437026  -2.1056044  -0.67146033]
gampang banget yesaya nggk lolos ronde 1,positive,0.966249942779541,[ 2.617789  -1.6651093 -1.2394515]
merinding dr otak kmn yahh gaes ko dr malas bljr,negative,0.9864993095397948,[-1.8126453 -1.5341654  3.3208287]
masya allah keren bangettt,positive,0.9965369701385498,[ 4.3065786 -1.7677367 -2.440926 ]
jujung neng banget nggk nyangka ngongos tahap pengtama bengsungkung,negative,0.990185022354126,[-1.4688511 -2.1887422  3.5417612]
pinter,positive,0.9954828023910522,[ 4.0982876 -2.051672  -1.9322743]
seru tonton biar ikut stress,negative,0.9922183752059937,[-1.1511416 -2.656064   3.8975532]
